公众号【天微科技】240101更新

📡央视频道,#genre#
CCTV-1综合频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225633/10000100000000060000000000000170_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-2财经频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225634/10000100000000060000000000000171_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-3综艺频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225635/10000100000000060000000000000172_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-4国际频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225661/10000100000000060000000000000198_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-5体育频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225636/10000100000000060000000000000173_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-6电影频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225638/10000100000000060000000000000175_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-7国防军事频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225835/10000100000000060000000000372054_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-8电视剧频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225640/10000100000000060000000000000177_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-9纪录频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225641/10000100000000060000000000000178_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-10科教频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225642/10000100000000060000000000000179_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-11戏曲频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225674/10000100000000060000000000000211_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-12社会与法频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225643/10000100000000060000000000000180_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-13新闻频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225676/10000100000000060000000000000213_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-14少儿频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225644/10000100000000060000000000000181_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-15音乐频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225678/10000100000000060000000000000215_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-16奥林匹克频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226274/10000100000000060000000000947655_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV-17农业农村频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225639/10000100000000060000000000000176_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CCTV 5+ 体育赛事频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225637/10000100000000060000000000000174_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CGTN-英语新闻频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225791/10000100000000060000000000000360_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CGTN-纪录频道（国际版）,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225792/10000100000000060000000000000361_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CGTN-俄语国际频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226279/10000100000000060000000000801397_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CGTN-西班牙语国际频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226249/10000100000000060000000000801388_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CGTN-阿拉伯语国际频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226260/10000100000000060000000000801394_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
CGTN-法语国际频道,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226275/10000100000000060000000000801393_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418




📡卫视频道,#genre#
北京卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225652/10000100000000060000000000000189_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
天津卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225653/10000100000000060000000000000190_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
上海东方卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225654/10000100000000060000000000000191_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
浙江卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225802/10000100000000060000000000009663_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
江苏卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225803/10000100000000060000000000009666_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
安徽卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225647/10000100000000060000000000000184_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
湖南卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225646/10000100000000060000000000000183_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
贵州卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225828/10000100000000060000000000263901_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
山东卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225649/10000100000000060000000000000186_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
山西卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225709/10000100000000060000000000000246_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
广东卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225650/10000100000000060000000000000187_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
广西卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221226239/10000100000000060000000000799006_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
湖北卫视,http://10.255.128.167/wh7f454c46tw3661505691_-1417954346/PLTV/88888888/224/3221225648/10000100000000060000000000000185_0.smil/index.m3u8?fmt=ts2hls&icpid=88888888&RTS%20=1704984336&from=1&hms_devid=103,23&RTS=1704985418
